r_[m]	a_(ws=3.0)_[-]	a_(ws=4.0)_[-]	a_(ws=5.0)_[-]	a_(ws=6.0)_[-]	a_(ws=7.0)_[-]	a_(ws=8.0)_[-]	a_(ws=9.0)_[-]	a_(ws=10.0)_[-]	a_(ws=11.0)_[-]	a'_(ws=3.0)_[-]	a'_(ws=4.0)_[-]	a'_(ws=5.0)_[-]	a'_(ws=6.0)_[-]	a'_(ws=7.0)_[-]	a'_(ws=8.0)_[-]	a'_(ws=9.0)_[-]	a'_(ws=10.0)_[-]	a'_(ws=11.0)_[-]	Cn_(ws=3.0)_[-]	Cn_(ws=4.0)_[-]	Cn_(ws=5.0)_[-]	Cn_(ws=6.0)_[-]	Cn_(ws=7.0)_[-]	Cn_(ws=8.0)_[-]	Cn_(ws=9.0)_[-]	Cn_(ws=10.0)_[-]	Cn_(ws=11.0)_[-]	Ct_(ws=3.0)_[-]	Ct_(ws=4.0)_[-]	Ct_(ws=5.0)_[-]	Ct_(ws=6.0)_[-]	Ct_(ws=7.0)_[-]	Ct_(ws=8.0)_[-]	Ct_(ws=9.0)_[-]	Ct_(ws=10.0)_[-]	Ct_(ws=11.0)_[-]	Alpha_(ws=3.0)_[deg]	Alpha_(ws=4.0)_[deg]	Alpha_(ws=5.0)_[deg]	Alpha_(ws=6.0)_[deg]	Alpha_(ws=7.0)_[deg]	Alpha_(ws=8.0)_[deg]	Alpha_(ws=9.0)_[deg]	Alpha_(ws=10.0)_[deg]	Alpha_(ws=11.0)_[deg]	Cl_(ws=3.0)_[-]	Cl_(ws=4.0)_[-]	Cl_(ws=5.0)_[-]	Cl_(ws=6.0)_[-]	Cl_(ws=7.0)_[-]	Cl_(ws=8.0)_[-]	Cl_(ws=9.0)_[-]	Cl_(ws=10.0)_[-]	Cl_(ws=11.0)_[-]	Cd_(ws=3.0)_[-]	Cd_(ws=4.0)_[-]	Cd_(ws=5.0)_[-]	Cd_(ws=6.0)_[-]	Cd_(ws=7.0)_[-]	Cd_(ws=8.0)_[-]	Cd_(ws=9.0)_[-]	Cd_(ws=10.0)_[-]	Cd_(ws=11.0)_[-]	Vrel_(ws=3.0)_[m/s]	Vrel_(ws=4.0)_[m/s]	Vrel_(ws=5.0)_[m/s]	Vrel_(ws=6.0)_[m/s]	Vrel_(ws=7.0)_[m/s]	Vrel_(ws=8.0)_[m/s]	Vrel_(ws=9.0)_[m/s]	Vrel_(ws=10.0)_[m/s]	Vrel_(ws=11.0)_[m/s]
7.3250	0.2154	0.2154	0.2156	0.2153	0.2155	0.2154	0.2132	0.2072	0.1981	0.0098	0.0100	0.0100	0.0100	0.0100	0.0100	0.0120	0.0144	0.0168	0.6432	0.6539	0.6559	0.6571	0.6568	0.6575	0.7801	0.9294	1.0720	0.0363	0.0381	0.0384	0.0386	0.0385	0.0386	0.0612	0.0953	0.1362	3.8522	3.9408	3.9553	3.9659	3.9626	3.9681	5.0105	6.3203	7.6921	0.6442	0.6550	0.6570	0.6582	0.6579	0.6586	0.7825	0.9343	1.0806	0.0070	0.0070	0.0070	0.0070	0.0070	0.0070	0.0072	0.0077	0.0087	12.7236	16.8246	20.9977	25.1829	29.3768	33.5587	34.5557	34.8816	35.2016
7.9750	0.2158	0.2157	0.2158	0.2155	0.2157	0.2157	0.2119	0.2047	0.1954	0.0083	0.0084	0.0084	0.0085	0.0085	0.0085	0.0101	0.0120	0.0140	0.6268	0.6369	0.6387	0.6398	0.6396	0.6402	0.7566	0.8990	1.0370	0.0337	0.0353	0.0356	0.0358	0.0357	0.0358	0.0565	0.0877	0.1252	3.7134	3.7965	3.8103	3.8208	3.8174	3.8225	4.8097	6.0485	7.3339	0.6276	0.6378	0.6397	0.6408	0.6405	0.6411	0.7587	0.9032	1.0445	0.0070	0.0070	0.0070	0.0070	0.0070	0.0070	0.0072	0.0076	0.0083	13.7945	18.2409	22.7645	27.3013	31.8476	36.3815	37.4330	37.7439	38.0470
8.6250	0.2161	0.2158	0.2159	0.2156	0.2158	0.2157	0.2097	0.1989	0.1860	0.0071	0.0072	0.0072	0.0072	0.0072	0.0072	0.0085	0.0101	0.0116	0.6158	0.6252	0.6268	0.6279	0.6276	0.6282	0.7371	0.8655	0.9841	0.0333	0.0347	0.0350	0.0352	0.0351	0.0352	0.0543	0.0820	0.1139	3.6565	3.7358	3.7490	3.7594	3.7559	3.7608	4.7106	5.9209	7.1857	0.6166	0.6261	0.6278	0.6289	0.6286	0.6291	0.7391	0.8694	0.9906	0.0061	0.0061	0.0061	0.0061	0.0061	0.0061	0.0065	0.0078	0.0101	14.8692	19.6624	24.5379	29.4276	34.3277	39.2148	40.3234	40.6230	40.9141
9.2750	0.2181	0.2176	0.2177	0.2173	0.2176	0.2174	0.2096	0.1974	0.1837	0.0062	0.0063	0.0063	0.0063	0.0063	0.0063	0.0074	0.0087	0.0099	0.6132	0.6221	0.6236	0.6248	0.6244	0.6249	0.7294	0.8529	0.9668	0.0329	0.0343	0.0345	0.0347	0.0346	0.0347	0.0528	0.0789	0.1089	3.6341	3.7094	3.7219	3.7323	3.7287	3.7333	4.6418	5.7947	6.9950	0.6140	0.6230	0.6246	0.6257	0.6253	0.6259	0.7312	0.8565	0.9728	0.0061	0.0061	0.0061	0.0061	0.0061	0.0061	0.0065	0.0076	0.0098	15.9469	21.0878	26.3162	31.5598	36.8145	42.0559	43.2229	43.5119	43.7911
9.9250	0.2196	0.2189	0.2190	0.2185	0.2188	0.2187	0.2090	0.1953	0.1808	0.0054	0.0055	0.0055	0.0055	0.0055	0.0055	0.0064	0.0075	0.0086	0.6146	0.6231	0.6246	0.6257	0.6253	0.6258	0.7261	0.8450	0.9545	0.0331	0.0344	0.0346	0.0348	0.0347	0.0348	0.0522	0.0771	0.1053	3.6461	3.7180	3.7299	3.7403	3.7365	3.7409	4.6136	5.7169	6.8599	0.6155	0.6241	0.6255	0.6266	0.6262	0.6267	0.7280	0.8485	0.9602	0.0061	0.0061	0.0061	0.0061	0.0061	0.0061	0.0065	0.0075	0.0095	17.0272	22.5168	28.0989	33.6971	39.3075	44.9038	46.1308	46.4108	46.6800
10.5750	0.2200	0.2191	0.2192	0.2187	0.2190	0.2188	0.2073	0.1922	0.1769	0.0048	0.0049	0.0049	0.0049	0.0049	0.0049	0.0056	0.0066	0.0074	0.6190	0.6271	0.6285	0.6296	0.6292	0.6297	0.7263	0.8406	0.9459	0.0338	0.0350	0.0353	0.0354	0.0354	0.0354	0.0522	0.0761	0.1029	3.6836	3.7525	3.7639	3.7742	3.7702	3.7744	4.6155	5.6748	6.7663	0.6199	0.6281	0.6294	0.6306	0.6302	0.6307	0.7282	0.8441	0.9514	0.0061	0.0061	0.0061	0.0061	0.0061	0.0061	0.0065	0.0075	0.0094	18.1097	23.9487	29.8854	35.8390	41.8056	47.7576	49.0456	49.3180	49.5787
11.2250	0.2193	0.2183	0.2183	0.2177	0.2181	0.2179	0.2046	0.1882	0.1722	0.0042	0.0043	0.0043	0.0043	0.0043	0.0043	0.0050	0.0057	0.0065	0.6265	0.6343	0.6356	0.6367	0.6363	0.6367	0.7300	0.8399	0.9409	0.0349	0.0362	0.0364	0.0366	0.0365	0.0366	0.0529	0.0759	0.1015	3.7478	3.8141	3.8250	3.8353	3.8312	3.8351	4.6479	5.6678	6.7130	0.6274	0.6353	0.6366	0.6377	0.6373	0.6378	0.7319	0.8433	0.9463	0.0061	0.0061	0.0061	0.0062	0.0061	0.0061	0.0065	0.0074	0.0092	19.1940	25.3831	31.6750	37.9844	44.3080	50.6161	51.9662	52.2321	52.4855
11.8750	0.2169	0.2157	0.2157	0.2152	0.2155	0.2153	0.2005	0.1829	0.1665	0.0038	0.0038	0.0038	0.0038	0.0038	0.0038	0.0044	0.0050	0.0056	0.6363	0.6438	0.6450	0.6461	0.6457	0.6461	0.7361	0.8418	0.9387	0.0365	0.0377	0.0379	0.0381	0.0380	0.0381	0.0541	0.0764	0.1009	3.8319	3.8958	3.9063	3.9165	3.9122	3.9160	4.7028	5.6865	6.6890	0.6373	0.6448	0.6461	0.6472	0.6467	0.6472	0.7381	0.8452	0.9440	0.0062	0.0062	0.0062	0.0062	0.0062	0.0062	0.0065	0.0075	0.0092	20.2800	26.8197	33.4672	40.1331	46.8140	53.4788	54.8917	55.1519	55.3991
12.5250	0.2085	0.2071	0.2070	0.2064	0.2068	0.2066	0.1889	0.1704	0.1558	0.0033	0.0033	0.0033	0.0033	0.0033	0.0033	0.0038	0.0043	0.0048	0.6389	0.6457	0.6468	0.6479	0.6474	0.6478	0.7276	0.8239	0.9211	0.0381	0.0392	0.0394	0.0395	0.0395	0.0395	0.0537	0.0740	0.0981	3.9581	4.0211	4.0314	4.0416	4.0373	4.0410	4.8210	5.7768	6.7222	0.6400	0.6469	0.6480	0.6490	0.6486	0.6490	0.7296	0.8271	0.9263	0.0061	0.0062	0.0062	0.0062	0.0062	0.0062	0.0076	0.0093	0.0105	21.3677	28.2586	35.2624	42.2852	49.3241	56.3460	57.8229	58.0784	58.3197
13.1750	0.2009	0.1994	0.1993	0.1987	0.1991	0.1989	0.1806	0.1620	0.1474	0.0029	0.0029	0.0029	0.0029	0.0029	0.0029	0.0033	0.0037	0.0041	0.6496	0.6561	0.6572	0.6582	0.6578	0.6581	0.7347	0.8274	0.9209	0.0398	0.0409	0.0411	0.0413	0.0412	0.0412	0.0551	0.0748	0.0980	4.0583	4.1194	4.1295	4.1394	4.1352	4.1387	4.8919	5.8118	6.7206	0.6508	0.6574	0.6584	0.6595	0.6590	0.6594	0.7367	0.8307	0.9261	0.0063	0.0064	0.0064	0.0064	0.0064	0.0064	0.0078	0.0094	0.0105	22.4562	29.6987	37.0590	44.4390	51.8362	59.2155	60.7563	61.0074	61.2441
